MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
65656-56018,65656-70324,65656-39859,65656-89675,65656-69213,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
65656-70324,65656-56018,65656-54604,65656-86646,65656-53390,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
65656-89675,65656-92413,65656-56378,65656-24533,65656-63625,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
65656-70324,65656-56018,65656-39859,65656-89675,65656-69213,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
65656-56018,65656-70324,65656-54604,65656-86646,65656-53390,,,,,,,,,,,,,,,,,,,
65656-89675,65656-70324,65656-56018,65656-39859,65656-69213,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65656-56018,65656-54604,65656-89675,65656-86646,65656-53390,,65656-89675:Jonathan Taylor,65656-89675,RB,Jonathan,Jonathan Taylor,Taylor,17.6166661580404,6,15000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
65656-56018,65656-70324,65656-65724,65656-89675,65656-69213,,65656-149696:Trey Lance,65656-149696,QB,Trey,Trey Lance,Lance,11.6149997711182,4,14500,IND@SF,SF,IND,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
65656-70324,65656-56018,65656-39859,65656-54604,65656-53390,,65656-54604:Jimmy Garoppolo,65656-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,14.8999996185303,4,14500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
65656-56018,65656-70324,65656-89675,65656-39428,65656-69213,,65656-70324:Carson Wentz,65656-70324,QB,Carson,Carson Wentz,Wentz,17.033332824707,6,14000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-56018:Deebo Samuel,65656-56018,WR,Deebo,Deebo Samuel,Samuel,18.9,5,13000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-69213:Michael Pittman Jr.,65656-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,10.4333330790202,6,12000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-92413:Eli Mitchell,65656-92413,RB,Eli,Eli Mitchell,Mitchell,9.96666653951009,3,11000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-22031:T.Y. Hilton,65656-22031,WR,T.Y.,T.Y. Hilton,Hilton,10,1,10500,IND@SF,IND,SF,O,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-53390:Zach Pascal,65656-53390,WR,Zach,Zach Pascal,Pascal,7.90000025431315,6,10000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-39793:George Kittle,65656-39793,TE,George,George Kittle,Kittle,8.27499961853027,4,10000,IND@SF,SF,IND,IR,Calf,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-56378:Joey Slye,65656-56378,K,Joey,Joey Slye,Slye,6.75,4,9500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-6910:Robbie Gould,65656-6910,K,Robbie,Robbie Gould,Gould,8,3,9500,IND@SF,SF,IND,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-63791:Rodrigo Blankenship,65656-63791,K,Rodrigo,Rodrigo Blankenship,Blankenship,9,5,9000,IND@SF,IND,SF,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-55145:Michael Badgley,65656-55145,K,Michael,Michael Badgley,Badgley,4.5,2,9000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-85798:Brandon Aiyuk,65656-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,3.95999984741211,5,8500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-63625:Nyheim Hines,65656-63625,RB,Nyheim,Nyheim Hines,Hines,5.81666692097982,6,8000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-24533:Mo Alie-Cox,65656-24533,TE,Mo,Mo Alie-Cox,Alie-Cox,6.36666679382324,6,7500,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-86646:Trey Sermon,65656-86646,RB,Trey,Trey Sermon,Sermon,5.19999980926514,4,7500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65656-57909:Marlon Mack,65656-57909,RB,Marlon,Marlon Mack,Mack,2.875,4,7000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
